 tag   molecule                 #lines   lg(Q(1000))  lg(Q(500))   lg(Q(300))   lg(Q(225))   lg(Q(150))    lg(Q(75))  lg(Q(37.5))   lg(Q(18.75))  lg(Q(9.375))  lg(Q(5.000))  lg(Q(2.725))
 74504 NiO                         341          NaN          NaN       3.0294       2.8846       2.6707       2.2730       1.8466       1.4613       1.1490          NaN          NaN
 74505 KCl, v=0-4                  722          NaN       3.6990       3.3473       3.1687       2.9425       2.6118       2.3089       2.0085       1.7088          NaN          NaN
 74506 C-13-C5H                   1566          NaN          NaN       4.8536       4.7236       4.5376       4.2083       3.8578       3.4832       3.1083          NaN          NaN
 74507 CC-13-C4H                  1565          NaN          NaN       4.8460       4.7159       4.5299       4.2007       3.8502       3.4756       3.1008          NaN          NaN
 74508 C2C-13-C3H                 1575          NaN          NaN       4.8418       4.7118       4.5257       4.1965       3.8461       3.4715       3.0967          NaN          NaN
 74509 C3C-13-C2H                 1575          NaN          NaN       4.8416       4.7116       4.5255       4.1963       3.8459       3.4713       3.0965          NaN          NaN
 74510 C4C-13-CH                  1571          NaN          NaN       4.8455       4.7155       4.5295       4.2002       3.8498       3.4752       3.1004          NaN          NaN
 74511 C5C-13-H                   1577          NaN          NaN       4.8526       4.7226       4.5365       4.2073       3.8568       3.4822       3.1073          NaN          NaN
 74512 C6D                         746          NaN          NaN       4.7364       4.6064       4.4203       4.0910       3.7403       3.3655       2.9908          NaN          NaN
 74513 C5N-                        191          NaN          NaN       3.6534       3.5285       3.3524       3.0514       2.7505       2.4497       2.1492          NaN          NaN
 74514 ethyl formate             52546          NaN          NaN       5.2842       5.0696       4.7551       4.1814       3.5953       3.0816       2.6249          NaN          NaN
 74515 ag-diethyl ether          37450          NaN          NaN       4.9947       4.8069       4.5423       4.0905       3.6390       3.1877       2.7370          NaN          NaN
 74516 glyoxylic acid            24075          NaN          NaN       4.8362       4.6991       4.3844       3.9328       3.4814       3.0304       2.5801          NaN          NaN
 75501 HC4NC                       156          NaN          NaN       4.1267       4.0017       3.8257       3.5247       3.2238       2.9230       2.6225          NaN          NaN
 75502 CaCl                       1131          NaN          NaN       4.0418       3.9167       3.7404       3.4394       3.1387       2.8384       2.5390          NaN          NaN
 75503 HC5N, v=0                   199          NaN       3.8937       3.6718       3.5468       3.3707       3.0697       2.7688       2.4680       2.1675          NaN          NaN
 75504 HC5N, v11=1                 222          NaN       3.8937       3.6718       3.5468       3.3707       3.0697       2.7688       2.4680       2.1675          NaN          NaN
 75505 HC5N, v11=2                 293          NaN       3.8937       3.6718       3.5468       3.3707       3.0697       2.7688       2.4680       2.1675          NaN          NaN
 75506 HC5N, v10=1                 222          NaN       3.8937       3.6718       3.5468       3.3707       3.0697       2.7688       2.4680       2.1675          NaN          NaN
 75507 HC5N, v11=3                 388          NaN       3.8937       3.6718       3.5468       3.3707       3.0697       2.7688       2.4680       2.1675          NaN          NaN
 75508 HC5N, v11=4                 483          NaN       3.8937       3.6718       3.5468       3.3707       3.0697       2.7688       2.4680       2.1675          NaN          NaN
 75509 HC5N, v9=1                  222          NaN       3.8937       3.6718       3.5468       3.3707       3.0697       2.7688       2.4680       2.1675          NaN          NaN
 75510 HC5N, nu7                   595          NaN       3.8937       3.6718       3.5468       3.3707       3.0697       2.7688       2.4680       2.1675          NaN          NaN
 75511 Glycine, conf. I          15303          NaN          NaN       5.3869       5.1993       4.9350       4.4834       4.0320       3.5809       3.1305          NaN          NaN
 75512 Glycine, conf. II         16850          NaN          NaN       5.3736       5.1861       4.9218       4.4702       4.0188       3.5678       3.1174          NaN          NaN
 75513 HC5N, v10=v11=1             444          NaN       3.8937       3.6718       3.5468       3.3707       3.0697       2.7688       2.4680       2.1675          NaN          NaN
 75514 HC5N, v11=5                 552          NaN       3.8937       3.6718       3.5468       3.3707       3.0697       2.7688       2.4680       2.1675          NaN          NaN
 76501 NC3NC                       279          NaN          NaN       3.6306       3.5166       3.3452       3.0448       2.7439       2.4431       2.1426          NaN          NaN
 76502 SiC4                         99          NaN          NaN       3.6104       3.4854       3.3093       3.0083       2.7074       2.4066       2.1062          NaN          NaN
 76503 Benzyne                   11750          NaN          NaN       5.4960       5.3086       5.0444       4.5929       4.1416       3.6906       3.2403          NaN          NaN
 76504 KCl-37, v=0,1               300          NaN       3.7156       3.3628       3.1835       2.9563       2.6245       2.3214       2.0210       1.7213          NaN          NaN
 76505 K-41-Cl, v=0,1              300          NaN       3.7124       3.3599       3.1807       2.9537       2.6221       2.3190       2.0186       1.7189          NaN          NaN
 76506 DC5N                        199          NaN       3.9138       3.6919       3.5670       3.3909       3.0899       2.7889       2.4881       2.1876          NaN          NaN
 76507 HC-13-C4N                    99          NaN       3.9051       3.6832       3.5583       3.3822       3.0812       2.7803       2.4795       2.1789          NaN          NaN
 76508 HCC-13-C3N                   99          NaN       3.8982       3.6763       3.5513       3.3752       3.0742       2.7733       2.4725       2.1720          NaN          NaN
 76509 HC2C-13-C2N                  99          NaN       3.8941       3.6722       3.5473       3.3712       3.0702       2.7693       2.4685       2.1679          NaN          NaN
 76510 HC3C-13-CN                   99          NaN       3.8941       3.6722       3.5472       3.3711       3.0701       2.7692       2.4684       2.1679          NaN          NaN
 76511 HC4C-13-N                    99          NaN       3.8980       3.6761       3.5511       3.3750       3.0741       2.7731       2.4723       2.1718          NaN          NaN
 76512 HC5N-15                      99          NaN       3.9045       3.6826       3.5576       3.3815       3.0805       2.7796       2.4788       2.1783          NaN          NaN
 76513 aG'g-1,2-Propanediol      22800          NaN          NaN       4.9735       4.7859       4.5216       4.0699       3.6185       3.1674       2.7169          NaN          NaN
 76514 glycolic acid             20745          NaN          NaN       4.8867       4.6991       4.4348       3.9833       3.5319       3.0809       2.6304          NaN          NaN
 76515 gG'a-1,2-Propanediol      13513          NaN          NaN       4.9785       4.7909       4.5266       4.0750       3.6236       3.1725       2.7219          NaN          NaN
 76516 g'G'g-1,2-Propanediol     28947          NaN          NaN       4.9775       4.7899       4.5256       4.0740       3.6225       3.1715       2.7209          NaN          NaN
 76517 OSiS                         99          NaN          NaN       3.2245       3.0995       2.9234       2.6225       2.3218       2.0215       1.7218          NaN          NaN
 76518 a'GG'g-1,3-Propanediol    83046          NaN          NaN       5.2789       5.0911       4.8267       4.3749       3.9235       3.4724       3.0218       2.6141       2.2220
 76519 gGG'g-1,3-Propanediol     80684          NaN          NaN       5.2832       5.0955       4.8311       4.3793       3.9278       3.4767       3.0262       2.6184       2.2262
 77501 Si-29-C4                     99          NaN          NaN       3.6171       3.4921       3.3160       3.0150       2.7141       2.4134       2.1129          NaN          NaN
 77502 SiC-13-C3                    99          NaN          NaN       3.6108       3.4859       3.3098       3.0088       2.7079       2.4071       2.1067          NaN          NaN
 77503 SiCC-13-C2                   99          NaN          NaN       3.6110       3.4860       3.3099       3.0089       2.7080       2.4072       2.1068          NaN          NaN
 77504 SiC2C-13-C                   99          NaN          NaN       3.6155       3.4905       3.3144       3.0134       2.7125       2.4117       2.1113          NaN          NaN
 77505 SiC3C-13                     99          NaN          NaN       3.6240       3.4990       3.3229       3.0219       2.7210       2.4202       2.1198          NaN          NaN
 77506 C2H3C3N                    4547          NaN          NaN       5.4873       5.3000       5.0360       4.5846       4.1332       3.6820       3.2309       2.8223       2.4284
 77507 E-HC2CHCHCN                3839          NaN          NaN       5.4261       5.2387       4.9746       4.5231       4.0717       3.6204       3.1694       2.7609       2.3671
 77508 Z-HC2CHCHCN               12544          NaN          NaN       5.6383       5.4502       5.1854       4.7332       4.2815       3.8302       3.3793       2.9710       2.5778
 77509 ScS                        1735          NaN          NaN       4.2284       4.1033       3.9270       3.6257       3.3241       3.0220       2.7191          NaN          NaN
 78501 Si-30-C4                     99          NaN          NaN       3.6235       3.4985       3.3224       3.0214       2.7205       2.4198       2.1193          NaN          NaN
 78502 Ti-46-O2                   3007          NaN       4.3559       4.0222       3.8344       3.5700       3.1184       2.6672       2.2168       1.7677       1.3625       0.9750
 78503 Ti-46-S                     246          NaN       3.9980       3.6509       3.4650       3.2091       2.7879       2.4234       2.1142       1.8219       1.5646       1.3289
 79501 Pyridine                  21737          NaN          NaN       5.5360       5.3493       5.0853       4.6338       4.1825       3.7315       3.2811          NaN          NaN
 80501 C4S                         366          NaN          NaN       4.0813       3.9530       3.7701       3.4493       3.1102       2.7397       2.3270          NaN          NaN
 80502 ScCl                         85          NaN          NaN       3.0847       2.9596       2.7835       2.4825       2.1819       1.8818       1.5826          NaN          NaN
 80503 S2O, v=0                  11853          NaN          NaN       4.5464       4.3113       4.0136       3.5503       3.0987       2.6479       2.1980          NaN          NaN
 80504 TiO2                       3422          NaN       4.3605       4.0267       3.8390       3.5745       3.1229       2.6718       2.2213       1.7722       1.3670       0.9795
 80505 TiS                         261          NaN       4.0069       3.6591       3.4728       3.2166       2.7953       2.4307       2.1215       1.8290       1.5715       1.3353
 82501 ScCl-37                      76          NaN          NaN       3.0981       2.9730       2.7968       2.4959       2.1952       1.8951       1.5959          NaN          NaN
 82502 Ti-50-O2                   3032          NaN       4.3648       4.0310       3.8432       3.5788       3.1272       2.6760       2.2256       1.7765       1.3713       0.9837
 82503 Ti-50-S                     252          NaN       4.0153       3.6668       3.4801       3.2237       2.8023       2.4376       2.1283       1.8357       1.5779       1.3413
 83501 AA-n-C4H9CN               37069          NaN          NaN       5.2424       5.0546       4.7900       4.3381       3.8864       3.4350       2.9839          NaN          NaN
 83502 GA-n-C4H9CN               47885          NaN          NaN       5.4883       5.2690       4.9416       4.3015       3.4737       2.2700       0.3143          NaN          NaN
 83503 AG-n-C4H9CN               14427          NaN          NaN       4.9056       4.5040       3.8122       2.0784      -0.9367          NaN          NaN          NaN          NaN
 84501 FeCO                        313          NaN          NaN       3.5734       3.4294       3.2169       2.8206       2.3883       1.9858       1.6620          NaN          NaN
 84502 OC3S                        175          NaN          NaN       3.6457       3.5207       3.3446       3.0436       2.7427       2.4419       2.1414       1.8693       1.6074
 85501 C7H                        1246          NaN          NaN       4.7305       4.5972       4.4049       4.0596       3.6889       3.3075       2.9604          NaN          NaN
 86501 l-C7H2                      295          NaN          NaN       5.0933       4.9059       4.6417       4.1902       3.7383       3.2738       2.7536          NaN          NaN
 86502 NiCO                         99          NaN          NaN       3.1403       3.0153       2.8392       2.5383       2.2376       1.9374       1.6381          NaN          NaN
 87501 l-HC6N                      424          NaN          NaN       5.1255       5.0002       4.8236       4.5208       4.2164       3.9086       3.5943          NaN          NaN
 88501 SiC5                        401          NaN          NaN       4.3076       4.1822       4.0053       3.7016       3.3955       3.0849       2.7663          NaN          NaN
 88502 CH3C6H                     1413          NaN          NaN       5.0758       4.8883       4.6241       4.1725       3.7220       3.2840       2.8723       2.5149       2.1917
 89501 CH3C5N                     5599          NaN          NaN       5.5545       5.3670       5.1028       4.6512       4.2006       3.7624       3.3505       2.9929       2.6694
 89502 a-Alanine, conf. I        42319          NaN          NaN       5.6455       5.4578       5.1933       4.7415       4.2900       3.8388       3.3880          NaN          NaN
 89503 a-Alanine, conf. II       31176          NaN          NaN       5.6367       5.4489       5.1845       4.7327       4.2812       3.8300       3.3792          NaN          NaN
 90501 Glyceraldehyde            21300          NaN          NaN       5.1624       4.9745       4.7099       4.2580       3.8064       3.3552       2.9044          NaN          NaN
 94501 Phenol                   133852          NaN          NaN       6.1343       5.9469       5.6827       5.2312       4.7798       4.3285       3.8776       3.4692       3.0758
 97501 C8H                        1264          NaN          NaN       4.9107       4.7794       4.5910       4.2554       3.8960       3.5152       3.1486          NaN          NaN
 97502 C8H-                        247          NaN          NaN       4.0301       3.9052       3.7291       3.4280       3.1271       2.8261       2.5253          NaN          NaN
 99501 HC7N, v=0                   230          NaN          NaN       4.0447       3.9198       3.7437       3.4427       3.1417       2.8408       2.5399          NaN          NaN
 99502 HC7N, v15=1                 238          NaN          NaN       4.0447       3.9198       3.7437       3.4427       3.1417       2.8408       2.5399          NaN          NaN
 99503 HC7N, v15=2                 356          NaN          NaN       4.0447       3.9198       3.7437       3.4427       3.1417       2.8408       2.5399          NaN          NaN
100501 SiC6                         99          NaN          NaN       4.0098       3.8849       3.7088       3.4077       3.1068       2.8058       2.5050          NaN          NaN
100502 DC7N                         99          NaN          NaN       4.0594       3.9344       3.7583       3.4573       3.1563       2.8554       2.5546          NaN          NaN
100503 HC-13-C6N                    99          NaN          NaN       4.0544       3.9294       3.7533       3.4523       3.1513       2.8504       2.5495          NaN          NaN
100504 HCC-13-C5N                   99          NaN          NaN       4.0499       3.9250       3.7489       3.4478       3.1469       2.8459       2.5451          NaN          NaN
100505 HC2C-13-C4N                  99          NaN          NaN       4.0465       3.9216       3.7455       3.4445       3.1435       2.8425       2.5417          NaN          NaN
100506 HC3C-13-C3N                  99          NaN          NaN       4.0450       3.9200       3.7439       3.4429       3.1419       2.8410       2.5402          NaN          NaN
100507 HC4C-13-C2N                  99          NaN          NaN       4.0450       3.9200       3.7439       3.4429       3.1419       2.8410       2.5401          NaN          NaN
100508 HC5C-13-CN                   99          NaN          NaN       4.0464       3.9215       3.7454       3.4444       3.1434       2.8424       2.5416          NaN          NaN
100509 HC6C-13-N                    99          NaN          NaN       4.0498       3.9248       3.7487       3.4477       3.1467       2.8458       2.5449          NaN          NaN
100510 HC7N-15                      99          NaN          NaN       4.0539       3.9289       3.7528       3.4518       3.1508       2.8499       2.5491          NaN          NaN
103501 c-C6H5CN                  23274          NaN          NaN       6.0318       5.8443       5.5801       5.1285       4.6771       4.2257       3.7746          NaN          NaN
105502 YO                          236          NaN       3.5939       3.3403       3.2099       3.0321       2.7314       2.4314       2.1324       1.8354          NaN          NaN
109501 C9H                         820          NaN          NaN       5.0552       4.9215       4.7284       4.3813       4.0087       3.6279       3.2839          NaN          NaN
112501 CH3C8H                     1027          NaN          NaN       5.3909       5.2034       4.9392       4.4876       4.0370       3.5990       3.1871       2.8295       2.5057
113501 CH3C7N                     1029          NaN          NaN       5.3946       5.2071       4.9429       4.4913       4.0407       3.6025       3.1904       2.8326       2.5085
121501 C10H                        354          NaN          NaN       4.8953       4.7628       4.5721       4.2306       3.8638       3.4814       3.1260          NaN          NaN
121502 YS                          593          NaN          NaN       4.2284       4.1033       3.9270       3.6257       3.3241       3.0220       2.7191          NaN          NaN
123501 HC9N                        172          NaN          NaN       4.3328       4.2079       4.0318       3.7308       3.4297       3.1288       2.8278          NaN          NaN
137501 CH3C9N                     1379          NaN          NaN       5.6486       5.4612       5.1970       4.7454       4.2948       3.8565       3.4443       3.0864       2.7622
147501 HC11N                       150          NaN          NaN       4.5679       4.4430       4.2669       3.9659       3.6648       3.3638       3.0629          NaN          NaN
171501 HC13N                       199          NaN          NaN       4.7667       4.6418       4.4657       4.1646       3.8636       3.5626       3.2616          NaN          NaN
